transaction_id,amount,location,timestamp,merchant,category,payment_method,flagged_transaction,is_fraud
T0001,12016.08,New York,07:19:00,Amazon,Food,credit_card,0,1
T0002,11076.33,Seattle,00:48:00,CryptoTradeX,Shopping,debit_card,1,1
T0003,8903.67,Los Angeles,22:06:00,Home Depot,Electronics,debit_card,0,0
T0004,4669.51,Miami,12:26:00,Netflix,Jewelry,digital_wallet,0,0
T0005,13003.53,Las Vegas,05:23:00,Best Buy,Investment,debit_card,0,1
T0006,7221.73,Houston,13:50:00,Target,Transport,bank_transfer,0,0
T0007,8938.93,Chicago,22:58:00,Best Buy,Home,credit_card,0,0
T0008,4315.41,Dallas,00:18:00,CryptoTradeX,Home,bank_transfer,0,0
T0009,14022.35,Boston,08:32:00,Walmart,Transfer,crypto_wallet,0,1
T0010,13837.49,San Francisco,11:34:00,Wire Transfer,Home,crypto_wallet,1,1
T0011,4240.96,San Francisco,20:48:00,Walmart,Home,digital_wallet,0,0
T0012,4638.6,San Francisco,09:17:00,Apple Store,Electronics,crypto_wallet,0,0
T0013,14632.26,Las Vegas,05:59:00,Best Buy,Transfer,debit_card,0,1
T0014,2321.68,San Francisco,00:43:00,Amazon,Transport,debit_card,0,0
T0015,1414.99,New York,02:52:00,Walmart,Transfer,digital_wallet,0,0
T0016,5035.07,Houston,03:39:00,Luxury Bags Co,Transport,credit_card,1,0
T0017,9757.58,Dallas,20:45:00,Uber,Transfer,digital_wallet,0,0
T0018,12305.01,San Francisco,10:30:00,Best Buy,Transfer,crypto_wallet,0,1
T0019,101.89,Chicago,18:24:00,Netflix,Electronics,digital_wallet,0,0
T0020,6098.28,Dallas,20:14:00,Apple Store,Food,digital_wallet,0,0
T0021,8279.4,Houston,03:39:00,Home Depot,Transport,debit_card,0,0
T0022,8799.05,Las Vegas,22:24:00,Apple Store,Subscription,bank_transfer,0,0
T0023,10594.65,Houston,02:24:00,Best Buy,Shopping,debit_card,0,1
T0024,1015.93,Houston,22:42:00,Netflix,Jewelry,crypto_wallet,0,0
T0025,5444.65,Los Angeles,13:26:00,Starbucks,Investment,crypto_wallet,0,0
T0026,6471.64,Los Angeles,03:45:00,Walmart,Jewelry,bank_transfer,0,0
T0027,8985.37,Miami,19:43:00,Best Buy,Electronics,digital_wallet,0,0
T0028,9064.97,New York,22:53:00,Target,Transfer,debit_card,0,0
T0029,3580.66,New York,07:56:00,Best Buy,Transfer,debit_card,0,0
T0030,1278.46,Seattle,21:42:00,Target,Food,crypto_wallet,0,0
T0031,8058.51,Dallas,10:42:00,Amazon,Investment,bank_transfer,0,0
T0032,9328.92,Miami,05:53:00,Apple Store,Investment,debit_card,0,0
T0033,13107.44,Boston,12:58:00,Wire Transfer,Investment,debit_card,1,1
T0034,5168.44,Boston,04:30:00,Apple Store,Home,debit_card,0,0
T0035,8749.95,Los Angeles,11:59:00,Best Buy,Transfer,credit_card,0,0
T0036,11945.68,Miami,21:36:00,CryptoTradeX,Home,debit_card,1,1
T0037,2167.54,San Francisco,16:37:00,Wire Transfer,Jewelry,bank_transfer,0,0
T0038,12039.48,New York,04:09:00,Amazon,Transfer,crypto_wallet,0,1
T0039,662.31,Boston,04:24:00,Uber,Home,debit_card,0,0
T0040,884.44,New York,02:42:00,Amazon,Transfer,credit_card,0,0
